#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B27D27
#Date Time: 2025-04-08 11:38:30.071
#Trace: Trace 2
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: C2
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.62013 V
#Offset: -0.000216306 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.52299 V
#Offset: -4.06484e-06 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 2.25 kHz
#Period: 444.4444444 us
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz),Trace 2 (V),Phase (deg)
0,8.210075441656474e-05,0
2.44140625,7.992328116205407e-05,166.5440192692735
4.8828125,6.820576979965297e-05,142.1673420387262
7.32421875,5.21977724219571e-05,108.8235247577423
9.765625,4.022308414463088e-05,77.58793554729672
12.20703125,3.47227212691542e-05,53.5045902552981
14.6484375,3.289741873256926e-05,27.21937751857068
17.08984375,3.250088534787772e-05,0.7584853538060061
19.53125,2.9911186429181e-05,169.5289143050666
21.97265625,3.0586304044168e-05,160.1645031267421
24.4140625,3.404535193355147e-05,155.7005009469784
26.85546875,3.662757251468411e-05,159.0564892514907
29.296875,3.877200217226049e-05,148.4680586171282
31.73828125,3.374970517537371e-05,133.939223241186
34.1796875,2.848473245233052e-05,122.1752712804382
36.62109375,2.909430122441849e-05,103.1062147951478
39.0625,3.401972469598709e-05,65.30168512260256
41.50390625,4.495576069408686e-05,52.74945297066865
43.9453125,4.398418923371921e-05,58.04806527134598
46.38671875,3.748879920904981e-05,52.92794011406091
48.828125,2.435604343777365e-05,56.96829032007889
51.26953125,3.531915913810617e-06,173.4037620169085
53.7109375,2.794064348009964e-05,78.0223273419741
56.15234375,3.933441252484556e-05,91.30502401348635
58.59375,4.386941866498238e-05,107.7345180786452
61.03515625,4.765052866845894e-05,122.1899613725942
63.4765625,3.442370983266298e-05,138.4949175006091
65.91796875,2.156616205382096e-05,146.9805480783938
68.359375,1.48508011869214e-05,116.3603200272625
70.80078125,1.283629166441548e-05,72.08515221385321
73.2421875,2.144735846760509e-05,67.81945753483809
75.68359375,2.601792484300786e-05,64.65290959795593
78.125,1.852085976005311e-05,44.14188043574771
80.56640625,1.726585949612493e-05,35.96293030658222
83.0078125,2.538750994785954e-05,35.74606178905314
85.44921875,2.987958296781694e-05,32.52397520588811
87.890625,2.650174634226286e-05,39.84312338362265
90.33203125,1.280916131545985e-05,52.84735798662916
92.7734375,8.412387418947128e-06,65.06327704449888
95.21484375,2.604007600875952e-05,64.43901536552747
97.65625,3.921790971680846e-05,52.88657510369602
100.09765625,3.753863488075403e-05,43.17837438695675
102.5390625,2.395342568577532e-05,22.83576691017418
104.98046875,2.264234621100723e-05,179.201110708466
107.421875,1.942119054892783e-05,177.3440711511651
109.86328125,7.120501080640732e-06,159.8090842030993
112.3046875,2.564413376920038e-06,40.14969708910723
114.74609375,9.47262128748146e-06,0.1964587517711736
117.1875,3.05212504350566e-05,25.74628764494222
119.62890625,5.115994207090921e-05,41.66321749163902
122.0703125,5.73785939261874e-05,52.88611553420853
124.51171875,6.623636342479135e-05,60.67686397799829
126.953125,7.018109424107647e-05,67.90007621758298
129.39453125,5.076045300101375e-05,71.41948666213797
131.8359375,2.517992442731297e-05,55.52993608254108
134.27734375,1.972449458500904e-05,176.0831550138367
136.71875,3.332285243477731e-05,135.8291842819357
139.16015625,4.646220269225036e-05,117.8953333387682
141.6015625,5.438816132124294e-05,105.9439987643038
144.04296875,5.869902782507182e-05,98.0159458108819
146.484375,5.971322417143845e-05,95.89539343420782
148.92578125,5.931812583277624e-05,95.9537453042412
151.3671875,5.105595551360088e-05,94.77963300003086
153.80859375,3.547134517762539e-05,91.66308669106181
156.25,2.1489683441143e-05,68.1817115781714
158.69140625,2.29285966636597e-05,16.97719519007986
161.1328125,3.39470873856621e-05,1.097888900199761
163.57421875,3.876469116979021e-05,3.444418060212738
166.015625,3.355850694172106e-05,9.768979116927701
168.45703125,2.619454108124146e-05,12.23559666201029
170.8984375,2.055130342542379e-05,169.5733656075828
173.33984375,2.753068440433498e-05,122.3944417901338
175.78125,4.336427774400048e-05,117.5581006879499
178.22265625,5.169973231129004e-05,133.7380927383874
180.6640625,4.955829621423249e-05,148.963890051368
183.10546875,4.015932546900613e-05,164.8971900730332
185.546875,3.04784683567409e-05,6.437633972671271
187.98828125,1.35327279441233e-05,39.69996481352101
190.4296875,6.130791498318484e-06,2.323390926097402
192.87109375,1.141385558645664e-05,56.7140358178773
195.3125,1.312969715554703e-05,68.28201862539123
197.75390625,1.560144652735797e-05,91.98310959216376
200.1953125,1.979361261524222e-05,145.8502951796691
202.63671875,2.734675558087558e-05,175.2663701143112
205.078125,3.104799208352544e-05,167.24583231344
207.51953125,3.664440053115195e-05,150.7854519592107
209.9609375,3.64863918386712e-05,148.2653395828119
212.40234375,3.038334014292425e-05,155.4564045855256
214.84375,2.194534524251894e-05,175.9060113439988
217.28515625,2.517324467308961e-05,41.31130579644896
219.7265625,3.942937272967754e-05,54.69203598189634
222.16796875,3.587636176042766e-05,53.34927145951841
224.609375,1.395220346535697e-05,49.58149531662998
227.05078125,6.300841317421246e-06,166.6608118010499
229.4921875,2.088317639170671e-05,4.218321300717649
231.93359375,3.226655485434347e-05,20.41014524117966
234.375,3.699960748622803e-05,24.54639677670453
236.81640625,2.892472324478085e-05,35.26786455140666
239.2578125,2.659280376784576e-05,96.81561291841184
241.69921875,1.673982034993526e-05,164.894824056311
244.140625,0.0001177299716237501,84.03231746029799
246.58203125,0.0002600457380766725,87.15719400404952
249.0234375,0.0003112930226181887,88.78426827102496
251.46484375,0.0003257516020300149,91.33795801086929
253.90625,0.0002714359043181632,91.95311717169609
256.34765625,0.0001233471761865178,92.6968145268425
258.7890625,2.527750249099571e-05,113.4530754517481
261.23046875,1.18127388218885e-05,164.069674909105
263.671875,9.083027509965981e-06,123.9940739695879
266.11328125,1.882379951143339e-05,103.0921791862113
268.5546875,1.93380187253521e-05,124.6167797152682
270.99609375,1.474329936523229e-05,177.8204638358843
273.4375,1.99954813259447e-05,18.95040414154882
275.87890625,2.986117634631395e-05,33.96300551620691
278.3203125,3.381263827747853e-05,53.23867414810209
280.76171875,1.888303958191548e-05,55.10616761708035
283.203125,1.064632346395813e-05,171.1379057331589
285.64453125,1.978650542863124e-05,147.7000774260272
288.0859375,2.944436447214208e-05,141.6992756188744
290.52734375,3.338164266080044e-05,136.0698391682188
292.96875,2.38396401293815e-05,127.3531317268595
295.41015625,8.007940451103841e-06,88.24155979821661
297.8515625,1.735983769713326e-05,162.9539590186598
300.29296875,3.483174415064638e-05,155.0226480021537
302.734375,4.096051576788234e-05,160.466791183365
305.17578125,4.205562408042741e-05,168.5769946235741
307.6171875,4.415308542503733e-05,1.916526246192322
310.05859375,4.759409942917668e-05,10.97026225798619
312.5,4.33599388170533e-05,6.270079953719107
314.94140625,2.992928956291021e-05,5.653712358923255
317.3828125,1.782914123263863e-05,174.3315060163323
319.82421875,1.563954363875331e-05,132.8643615217276
322.265625,9.336693076357224e-06,79.38650150128746
324.70703125,1.35837434092902e-05,35.45197441726042
327.1484375,1.68664004202374e-05,82.07557671073199
329.58984375,2.61824193930779e-05,115.1104412900998
332.03125,4.015389942522635e-05,120.6261672683826
334.47265625,5.603411353548711e-05,125.0279066436355
336.9140625,5.513127277378901e-05,132.7024255249246
339.35546875,4.478271259496885e-05,138.754192685135
341.796875,3.465982167671068e-05,134.9435077086979
344.23828125,2.048685070053034e-05,138.300615467925
346.6796875,1.388765112066677e-05,17.77318577899488
349.12109375,1.924249891197982e-05,39.53768318139574
351.5625,2.69614971204941e-05,28.84069943176903
354.00390625,3.89302520818753e-05,34.1431811553933
356.4453125,3.409677662065667e-05,48.5272750014412
358.88671875,1.700195947753032e-05,76.90473834767924
361.328125,2.107143908218601e-05,143.4532245979073
363.76953125,4.923304009673697e-05,154.2898142793336
366.2109375,6.725058885341885e-05,148.310237657475
368.65234375,6.481465084212696e-05,136.4669114851914
371.09375,5.886457259791663e-05,125.7079435261395
373.53515625,4.950877035360536e-05,123.2800655494097
375.9765625,3.169021535200952e-05,133.5564317568698
378.41796875,2.546409739739857e-05,163.3923480988396
380.859375,3.433926063905534e-05,178.3549205183662
383.30078125,3.373139952666637e-05,4.381271905469394
385.7421875,2.49009515560434e-05,175.7613054648282
388.18359375,2.3198986665906e-05,151.0463329636415
390.625,2.188293715170372e-05,126.6227366838674
393.06640625,2.281711524716602e-05,115.4133068989066
395.5078125,2.85509513288833e-05,141.0064463491103
397.94921875,3.820406842332158e-05,168.1489677623666
400.390625,4.438754204130091e-05,5.100792641152716
402.83203125,4.239540401366678e-05,12.50040609344186
405.2734375,3.043281663482878e-05,17.8289415045519
407.71484375,1.556663202083725e-05,16.2774762689729
410.15625,2.840466999309014e-06,150.2532214092028
412.59765625,3.179221908585448e-05,160.0478584811773
